Series ID,Year,Period,Label,Value,1-Month Net Change
LNS14000000,2017,M03,2017 Mar,4.4,-0.2
LNS14000000,2017,M04,2017 Apr,4.4,0.0
LNS14000000,2017,M05,2017 May,4.4,0.0
LNS14000000,2017,M06,2017 Jun,4.3,-0.1
LNS14000000,2017,M07,2017 Jul,4.3,0.0
LNS14000000,2017,M08,2017 Aug,4.4,0.1
LNS14000000,2017,M09,2017 Sep,4.3,-0.1
LNS14000000,2017,M10,2017 Oct,4.2,-0.1
LNS14000000,2017,M11,2017 Nov,4.2,0.0
LNS14000000,2017,M12,2017 Dec,4.1,-0.1
LNS14000000,2018,M01,2018 Jan,4.0,-0.1
LNS14000000,2018,M02,2018 Feb,4.1,0.1
LNS14000000,2018,M03,2018 Mar,4.0,-0.1
LNS14000000,2018,M04,2018 Apr,4.0,0.0
LNS14000000,2018,M05,2018 May,3.8,-0.2
LNS14000000,2018,M06,2018 Jun,4.0,0.2
LNS14000000,2018,M07,2018 Jul,3.8,-0.2
LNS14000000,2018,M08,2018 Aug,3.8,0.0
LNS14000000,2018,M09,2018 Sep,3.7,-0.1
LNS14000000,2018,M10,2018 Oct,3.8,0.1
LNS14000000,2018,M11,2018 Nov,3.8,0.0
LNS14000000,2018,M12,2018 Dec,3.9,0.1
LNS14000000,2019,M01,2019 Jan,4.0,0.1
LNS14000000,2019,M02,2019 Feb,3.8,-0.2
LNS14000000,2019,M03,2019 Mar,3.8,0.0
LNS14000000,2019,M04,2019 Apr,3.7,-0.1
LNS14000000,2019,M05,2019 May,3.6,-0.1
LNS14000000,2019,M06,2019 Jun,3.6,0.0
LNS14000000,2019,M07,2019 Jul,3.7,0.1
LNS14000000,2019,M08,2019 Aug,3.6,-0.1
LNS14000000,2019,M09,2019 Sep,3.5,-0.1
LNS14000000,2019,M10,2019 Oct,3.6,0.1
LNS14000000,2019,M11,2019 Nov,3.6,0.0
LNS14000000,2019,M12,2019 Dec,3.6,0.0
LNS14000000,2020,M01,2020 Jan,3.6,0.0
LNS14000000,2020,M02,2020 Feb,3.5,-0.1
LNS14000000,2020,M03,2020 Mar,4.4,0.9
LNS14000000,2020,M04,2020 Apr,14.8,10.4
LNS14000000,2020,M05,2020 May,13.2,-1.6
LNS14000000,2020,M06,2020 Jun,11.0,-2.2
LNS14000000,2020,M07,2020 Jul,10.2,-0.8
LNS14000000,2020,M08,2020 Aug,8.4,-1.8
LNS14000000,2020,M09,2020 Sep,7.8,-0.6
LNS14000000,2020,M10,2020 Oct,6.9,-0.9
LNS14000000,2020,M11,2020 Nov,6.7,-0.2
LNS14000000,2020,M12,2020 Dec,6.7,0.0
LNS14000000,2021,M01,2021 Jan,6.4,-0.3
LNS14000000,2021,M02,2021 Feb,6.2,-0.2
LNS14000000,2021,M03,2021 Mar,6.1,-0.1
LNS14000000,2021,M04,2021 Apr,6.1,0.0
LNS14000000,2021,M05,2021 May,5.8,-0.3
LNS14000000,2021,M06,2021 Jun,5.9,0.1
LNS14000000,2021,M07,2021 Jul,5.4,-0.5
LNS14000000,2021,M08,2021 Aug,5.1,-0.3
LNS14000000,2021,M09,2021 Sep,4.7,-0.4
LNS14000000,2021,M10,2021 Oct,4.5,-0.2
LNS14000000,2021,M11,2021 Nov,4.2,-0.3
LNS14000000,2021,M12,2021 Dec,3.9,-0.3
LNS14000000,2022,M01,2022 Jan,4.0,0.1
LNS14000000,2022,M02,2022 Feb,3.8,-0.2
LNS14000000,2022,M03,2022 Mar,3.7,-0.1
LNS14000000,2022,M04,2022 Apr,3.7,0.0
LNS14000000,2022,M05,2022 May,3.6,-0.1
LNS14000000,2022,M06,2022 Jun,3.6,0.0
LNS14000000,2022,M07,2022 Jul,3.5,-0.1
LNS14000000,2022,M08,2022 Aug,3.6,0.1
LNS14000000,2022,M09,2022 Sep,3.5,-0.1
LNS14000000,2022,M10,2022 Oct,3.6,0.1
LNS14000000,2022,M11,2022 Nov,3.6,0.0
LNS14000000,2022,M12,2022 Dec,3.5,-0.1
LNS14000000,2023,M01,2023 Jan,3.5,0.0
LNS14000000,2023,M02,2023 Feb,3.6,0.1
LNS14000000,2023,M03,2023 Mar,3.5,-0.1
LNS14000000,2023,M04,2023 Apr,3.4,-0.1
LNS14000000,2023,M05,2023 May,3.6,0.2
LNS14000000,2023,M06,2023 Jun,3.6,0.0
LNS14000000,2023,M07,2023 Jul,3.5,-0.1
LNS14000000,2023,M08,2023 Aug,3.7,0.2
LNS14000000,2023,M09,2023 Sep,3.8,0.1
LNS14000000,2023,M10,2023 Oct,3.9,0.1
LNS14000000,2023,M11,2023 Nov,3.7,-0.2
LNS14000000,2023,M12,2023 Dec,3.8,0.1
LNS14000000,2024,M01,2024 Jan,3.7,-0.1
LNS14000000,2024,M02,2024 Feb,3.9,0.2
LNS14000000,2024,M03,2024 Mar,3.9,0.0
LNS14000000,2024,M04,2024 Apr,3.9,0.0
LNS14000000,2024,M05,2024 May,4.0,0.1
LNS14000000,2024,M06,2024 Jun,4.1,0.1
LNS14000000,2024,M07,2024 Jul,4.2,0.1
